Miner ID,Block Depth,Transaction ID,Redaction Profit,Performance Time (ms),Blockchain Length,# of Tx
0,2,31434458918,0.05449076452509554,46.99397087097168,2,1725
0,1,25137518835,0.005786024543161892,46.56696319580078,2,1663
0,1,8356809853,0.010582771835313714,46.6310977935791,2,1663
0,2,51893583241,0.009886518632494063,47.33157157897949,2,1724
0,1,69202618936,0.0218112252879628,47.009944915771484,2,1662
2,2,8270137667,0.025331006853105246,47.22738265991211,2,1725
2,1,5360634089,9.897354350669075e-05,46.85068130493164,2,1663
2,2,29664844877,0.006844756147934988,46.913862228393555,2,1724
2,1,95082924214,0.05996703182066484,46.81563377380371,2,1662
0,9,16982205239,0.07104252034348929,46.901702880859375,11,1688
0,6,49659437011,0.015215619970968524,47.4700927734375,11,1662
0,6,84228820195,0.03605896139158507,46.751976013183594,11,1662
2,10,6135050800,0.018353596366948735,47.250986099243164,11,1681
2,7,97465303849,0.026827633926457876,47.12629318237305,11,1677
2,9,23189059799,0.030751269091841397,46.65541648864746,11,1689
2,3,94541994772,0.0019440444177279354,46.42462730407715,11,1741
2,2,72998654988,0.00824102001737927,46.872854232788086,11,1654
2,8,82613364653,0.006209539254033351,46.63801193237305,11,1657
2,7,73546249030,0.00938763145963496,46.84805870056152,11,1676
0,5,70406242579,0.003449783115672778,47.150611877441406,5,1737
0,3,4430561795,0.0033574441082245307,46.82421684265137,5,1679
0,5,4092243910,0.04676364119754776,47.0731258392334,5,1736
0,4,64265427110,0.021940584256033395,46.49162292480469,5,1647
2,2,97857519505,0.008577794215808827,47.22118377685547,5,1713
2,1,15760826996,0.12406948600645125,46.67091369628906,5,1712
2,2,84657542356,0.010468472995197804,46.617984771728516,5,1712
2,2,60867538990,0.012241173245605984,47.196388244628906,5,1712
2,1,66205578214,0.15194016036375968,47.014713287353516,5,1712
2,1,98525633195,0.011332636978043958,46.96965217590332,5,1712
0,4,59324780521,0.016402794235943083,62.799930572509766,6,1637
0,1,34318570641,0.036069047932228225,46.7987060546875,6,1705
0,6,20475653369,0.09412562295858265,46.547651290893555,6,1678
